Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
5222 Camden Lake Pkwy NW,34.008846,-84.709327,5,2.5,"3,794","$250,000 ","5 bed, 2.5 bath townhouse in 5222 Camden Lake Pkwy NW",33.51815063,37.11160621,43.17461562,0.454589874,Cobb
3851 Rockhaven Ct,34.044788,-84.489311,5,4.5,"7,146","$939,900 ","5 bed, 4.5 bath townhouse in 3851 Rockhaven Ct",20.14526093,24.38394404,28.3606097,0.649673153,Cobb
1686 Pennington Ter,33.990516,-84.446586,5,4.5,"3,793","$499,900 ","5 bed, 4.5 bath townhouse in 1686 Pennington Ter",16.64871076,19.28480917,21.67350588,0.830158313,Cobb
1949 W Village Pt SE,33.841835,-84.495117,5,4,"3,924","$500,000 ","5 bed, 4 bath townhouse in 1949 W Village Pt SE",16.38254546,11.7102261,14.84439683,1.514217425,Cobb
1009 Crest Ridge Pl SW,33.885471,-84.584519,5,3,"3,003","$175,000 ","5 bed, 3 bath townhouse in 1009 Crest Ridge Pl SW",19.90687248,18.99829611,25.60222474,0.82081885,Cobb
1443 Brentwood Ct,33.985914,-84.507978,4,3.5,"3,442","$350,000 ","4 bed, 3.5 bath townhouse in 1443 Brentwood Ct",20.02203453,19.91726924,25.09135541,0.765319671,Cobb
1885 Martin Rd SW,33.907463,-84.574394,2,1,"1,026","$69,900 ","2 bed, 1 bath townhouse in 1885 Martin Rd SW",19.63877598,19.25945552,25.67895396,0.807035185,Cobb
5514 Vinings Lake Ln SW,33.817095,-84.554094,4,3,"2,973","$300,000 ","4 bed, 3 bath townhouse in 5514 Vinings Lake Ln SW",18.95369429,17.48372872,19.79535566,1.147428627,Cobb
3516 Parkview Dr,34.035945,-84.43502,3,3,"2,068","$224,900 ","3 bed, 3 bath townhouse in 3516 Parkview Dr",18.58145008,22.39094575,24.92982744,0.703251237,Cobb
3092 Wren Cir NW,34.031191,-84.637446,3,3,"2,041","$198,000 ","3 bed, 3 bath townhouse in 3092 Wren Cir NW",27.15586278,29.2688778,37.98106647,0.51321635,Cobb
195 Stewart Ave NW,33.958839,-84.557991,3,1.5,864,"$245,000 ","3 bed, 1.5 bath townhouse in 195 Stewart Ave NW",18.37264597,15.57301369,27.08611284,0.73724649,Cobb
1373 Willowbrook Dr SW,33.916625,-84.615078,3,2.5,"2,060","$229,900 ","3 bed, 2.5 bath townhouse in 1373 Willowbrook Dr SW",23.96337736,22.88027246,29.94393685,0.684037241,Cobb
700 Stone House Ln NW,33.970915,-84.605755,5,3.5,"3,439","$369,000 ","5 bed, 3.5 bath townhouse in 700 Stone House Ln NW",25.23916038,19.86488814,31.8327344,0.626361513,Cobb
621 Foxcroft Cir SE,33.935829,-84.464515,4,2.5,"2,650","$269,900 ","4 bed, 2.5 bath townhouse in 621 Foxcroft Cir SE",17.78677577,15.37265634,18.4887415,1.032233169,Cobb
2275 W Village Ln SE,33.841121,-84.490036,3,2.5,"2,416","$335,000 ","3 bed, 2.5 bath townhouse in 2275 W Village Ln SE",16.45704488,12.01859015,14.30415216,1.568906636,Cobb
4887 Oglesby Rd,33.843201,-84.694958,4,4,"2,339","$194,900 ","4 bed, 4 bath townhouse in 4887 Oglesby Rd",30.70046414,32.52788964,35.66326227,0.575581206,Cobb
1770 Cedar Dr,34.007652,-84.499534,3,2,"1,373","$159,900 ","3 bed, 2 bath townhouse in 1770 Cedar Dr",19.33568021,21.59554227,26.1175914,0.722032531,Cobb
